2025-08-09 10:38:12.973918,AAPL,229.35
2025-08-09 10:38:12.992822,AAPL,229.35
2025-08-09 10:39:12.726109,AAPL,229.35
2025-08-09 10:39:12.994976,AAPL,229.35
2025-08-09 10:40:12.733994,AAPL,229.35
2025-08-09 10:40:12.993532,AAPL,229.35
2025-08-09 10:41:12.747435,AAPL,229.35
2025-08-09 10:41:12.995155,AAPL,229.35
2025-08-09 10:42:12.727968,AAPL,229.35
2025-08-09 10:42:12.991628,AAPL,229.35
2025-08-09 10:43:12.733838,AAPL,229.35
2025-08-09 10:43:34.110631,AAPL,229.35
2025-08-09 10:43:34.187397,GOOGL,201.42
2025-08-09 10:44:12.729836,AAPL,229.35
2025-08-09 10:45:07.591885,AAPL,229.35
2025-08-09 10:45:07.680667,GOOGL,201.42
2025-08-09 10:45:07.764118,CAT,416.52
2025-08-09 10:45:12.730126,AAPL,229.35
2025-08-09 10:46:07.593370,AAPL,229.35
2025-08-09 10:46:07.687144,GOOGL,201.42
2025-08-09 10:46:07.769658,CAT,416.52
2025-08-09 10:46:12.742931,AAPL,229.35
